chip,device_name,sm_count,git_commit,extension_md5,case_source,family,n_rows,n_cols,top_k,sorted_value,return_value,input_dtype,index_dtype,num_runs,backend,status,error_type,error_message,time(us),throughput(TB/s),bandwidth(GB/s),Byte(MB),relative_pct_vs_maca_c,note
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,512,256,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,512,1024,512,0,0,bfloat16,int32,10,maca_c,pass,,,46.131,0.045461,45.461,2.097,100.0,
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,512,1024,512,0,0,bfloat16,int32,10,torch,pass,,,91.802,0.022844,22.844,,50.25,
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,512,1024,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,512,4096,512,0,0,bfloat16,int32,10,maca_c,pass,,,57.242,0.091591,91.591,5.243,100.0,
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,512,4096,512,0,0,bfloat16,int32,10,torch,pass,,,255.795,0.020496,20.496,,22.38,
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,512,4096,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,512,16384,512,0,0,bfloat16,int32,10,maca_c,pass,,,100.557,0.177271,177.271,17.826,100.0,
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,512,16384,512,0,0,bfloat16,int32,10,torch,pass,,,464.768,0.038354,38.354,,21.64,
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,512,16384,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
